HouseIdentifier, CoordX, CoordY, Security, Value, NumBurglaries
193982, -110.95750336218155,32.23985205134267,false, 67738,0
193999, -110.95866784922933,32.239849562602,false, 106997,0
194001, -110.95883388762644,32.23984894468698,false, 137626,0
194006, -110.95899996396844,32.239848295866544,false, 71649,0
194028, -110.95833834344313,32.2398428000055,false, 116817,0
194029, -110.95973665586325,32.23984564113899,false, 92223,0
194033, -110.95990186108484,32.239843374337745,false, 102090,0
194036, -110.96006210462711,32.23984458278985,false, 146356,0
194095, -110.96167363951587,32.23982795335589,false, 20000,0
194097, -110.96185613136029,32.23982982692265,false, 50889,0
194099, -110.96203335014754,32.2398290882374,false, 163891,0
194100, -110.96222317092537,32.23982913044367,false, 51710,0
194104, -110.9624187850011,32.23982939375201,false, 92744,0
194118, -110.96320949464192,32.23982812158864,false, 91444,0
194121, -110.9633948130581,32.23982722050577,false, 75746,0
194126, -110.96357527817808,32.239827435517704,false, 101313,0
194127, -110.96375306195256,32.23982718648308,false, 56091,0
194129, -110.96393418751104,32.23982675528761,false, 82895,0
194159, -110.9643676159346,32.239818420924195,false, 27449,0
194163, -110.96461272421867,32.23981716201304,false, 41046,0
194168, -110.9196979342606,32.23945559141107,false, 113213,0
194174, -110.96525108404026,32.23978505815259,false, 73643,0
194179, -110.96548635960393,32.23981351460197,false, 121647,0
194186, -110.9659745072284,32.239809989290556,false, 20000,0
194194, -110.9662163764233,32.2398087617523,false, 82071,0
194200, -110.96637892009201,32.239811897459546,false, 50770,0
194206, -110.96654048754542,32.239805634004256,false, 130193,0
194211, -110.96669991124146,32.23980683676142,false, 107162,0
194217, -110.96686133706238,32.239807008525084,false, 30436,0
194224, -110.96702641998193,32.23980380951189,false, 78723,0
194247, -110.96742181259569,32.23980083453347,false, 44423,0
194250, -110.96754430020445,32.23979956239819,false, 76207,0
194253, -110.96763284380867,32.23980056338912,false, 93876,0
194257, -110.96775222269007,32.23979940908759,false, 97730,0
