401500162.2	106945.5164	14	13	175	4019	4639	4019004639	46.39	Tract 46.39	892	853	794	14	8	3	1	139	33	39	2.22167E-06	9218.44	56411	56705	16607	29563	1.97758E-06	3.48692E-08	1.99253E-08	7.47198E-09	2.49066E-09	8.21917E-08	9.71357E-08	3.46202E-07	14	13	856	69	8.1	207	14	6.8	269	14	5.2	188	0	10	108	62	0	8	0	0	139100	647	473	473	432	41	0	0	174	353	255	255	239
82591878.69	42238.0689	15	15	172	4019	4636	4019004636	46.36	Tract 46.36	5334	5235	4893	64	24	127	15	489	112	99	6.45826E-05	1896.31	75781	78540	54313	29359	5.92431E-05	7.74895E-07	2.90585E-07	1.53768E-06	1.81616E-07	1.35607E-06	1.19867E-06	5.92068E-06	15	15	5334	68	1.3	1585	22	1.4	1778	31	1.7	1627	8	0	385	591	559	84	0	0	182700	3775	2632	2585	2527	58	0	47	1143	1908	1128	1119	1083
135431071.8	51784.61115	16	14	170	4019	4634	4019004634	46.34	Tract 46.34	1015	979	932	5	12	3	0	93	27	36	7.49459E-06	3109.5	52344	61818	34375	24282	6.88173E-06	3.69192E-08	8.8606E-08	2.21515E-08	0	1.99363E-07	2.65818E-07	6.86696E-07	16	14	934	9	1	274	0	0	352	0	0	316	0	36	66	66	131	17	0	0	182100	757	518	518	492	26	0	0	239	385	254	254	242
50911092826	1519425.239	17	16	197	4019	940800	4019940800	9408	Tract 9408	4719	4698	96	5	4573	13	6	139	5	21	9.2691E-08	1168918.69	19318	20119	6883	6574	1.88564E-09	9.821E-11	8.98233E-08	2.55347E-10	1.17853E-10	9.821E-11	4.12484E-10	2.73025E-09	17	16	4659	2191	47	958	406	42.4	1228	574	46.7	690	368	302	17	3	0	0	0	0	41500	3050	1310	1310	971	339	0	0	1740	1646	647	647	552
74919883.79	40746.01528	18	17	171	4019	4635	4019004635	46.35	Tract 46.35	4358	4290	4043	47	16	99	4	336	81	68	5.81688E-05	1720.16	70023	80090	41797	32538	5.39643E-05	6.27337E-07	2.13561E-07	1.32141E-06	5.33904E-08	1.08115E-06	9.07636E-07	4.48479E-06	18	17	4358	141	3.2	1338	43	3.2	1691	61	3.6	1259	6	37	144	327	516	213	16	0	221500	3408	1981	1971	1882	89	0	10	1427	1743	806	806	756
51745744.46	47299.76886	19	18	169	4019	4633	4019004633	46.33	Tract 46.33	2755	2690	2524	49	9	71	0	281	37	65	5.32411E-05	1188.08	58304	63041	33456	24626	4.8777E-05	9.46938E-07	1.73927E-07	1.37209E-06	0	7.15035E-07	1.25614E-06	5.4304E-06	19	18	2820	79	2.8	828	16	1.9	1007	16	1.6	911	9	92	356	402	52	0	0	0	149800	2193	1413	1413	1382	31	0	0	780	1151	634	634	620
72380947	50093.0892	20	19	155	4019	4619	4019004619	46.19	Tract 46.19	3437	3381	3161	39	20	75	1	300	85	56	4.74849E-05	1661.87	55466	68088	36979	30390	4.36717E-05	5.38816E-07	2.76316E-07	1.03618E-06	1.38158E-08	1.17434E-06	7.73684E-07	4.14474E-06	20	19	3406	141	4.1	984	7	0.7	1543	64	4.1	995	0	59	334	172	293	137	0	0	185900	2933	1849	1842	1791	51	0	7	1084	1491	830	823	791
349104567.7	100130.7254	21	20	136	4019	4416	4019004416	44.16	Tract 44.16	8841	8582	7506	225	66	275	14	1470	496	259	2.53248E-05	8015.44	60172	62054	41000	23373	2.15007E-05	6.44506E-07	1.89055E-07	7.8773E-07	4.01026E-08	1.42078E-06	7.41898E-07	4.21077E-06	21	20	8787	188	2.1	2553	38	1.5	3183	87	2.7	2708	8	260	1405	637	312	86	0	0	135000	6366	4497	4470	4259	211	0	27	1869	3252	1979	1979	1864
42304494.68	26455.33868	22	21	168	4019	4632	4019004632	46.32	Tract 46.32	2508	2424	2204	40	16	60	0	291	104	84	5.92845E-05	971.31	65972	67717	60156	22979	5.20985E-05	9.45526E-07	3.7821E-07	1.41829E-06	0	2.45837E-06	1.9856E-06	6.8787E-06	22	21	2569	82	3.2	722	16	2.2	873	16	1.8	706	0	95	426	110	68	7	0	0	127800	1786	1353	1353	1333	20	0	0	433	947	670	670	650
41718764.44	26501.61641	23	23	167	4019	4631	4019004631	46.31	Tract 46.31	3707	3605	3276	77	19	80	2	504	151	102	8.88569E-05	957.86	62066	64545	40417	25583	7.85258E-05	1.84569E-06	4.55431E-07	1.9176E-06	4.79401E-08	3.61947E-06	2.44494E-06	1.20809E-05	23	23	3659	111	3	1108	19	1.7	1353	34	2.5	1140	17	90	797	211	25	0	0	0	123900	2758	1999	1988	1901	87	0	11	759	1426	961	961	931
