HouseIdentifier, CoordX, CoordY, Security, Value, NumBurglaries
193982, -110.95750336218155,32.23985205134267,false, 53274,0
193999, -110.95866784922933,32.239849562602,false, 97654,0
194001, -110.95883388762644,32.23984894468698,false, 20000,0
194006, -110.95899996396844,32.239848295866544,false, 50615,0
194028, -110.95833834344313,32.2398428000055,false, 151613,0
194029, -110.95973665586325,32.23984564113899,false, 55206,0
194033, -110.95990186108484,32.239843374337745,false, 109287,0
194036, -110.96006210462711,32.23984458278985,false, 83116,0
194095, -110.96167363951587,32.23982795335589,false, 109145,0
194097, -110.96185613136029,32.23982982692265,false, 48795,0
194099, -110.96203335014754,32.2398290882374,false, 116222,0
194100, -110.96222317092537,32.23982913044367,false, 74275,0
194104, -110.9624187850011,32.23982939375201,false, 49020,0
194118, -110.96320949464192,32.23982812158864,false, 41764,0
194121, -110.9633948130581,32.23982722050577,false, 63583,0
194126, -110.96357527817808,32.239827435517704,false, 20528,0
194127, -110.96375306195256,32.23982718648308,false, 20000,0
194129, -110.96393418751104,32.23982675528761,false, 72851,0
194159, -110.9643676159346,32.239818420924195,false, 134442,0
194163, -110.96461272421867,32.23981716201304,false, 114422,0
194168, -110.9196979342606,32.23945559141107,false, 20000,0
194174, -110.96525108404026,32.23978505815259,false, 90355,0
194179, -110.96548635960393,32.23981351460197,false, 89387,0
194186, -110.9659745072284,32.239809989290556,false, 73522,0
194194, -110.9662163764233,32.2398087617523,false, 35888,0
194200, -110.96637892009201,32.239811897459546,false, 107272,0
194206, -110.96654048754542,32.239805634004256,false, 35908,0
194211, -110.96669991124146,32.23980683676142,false, 87617,0
194217, -110.96686133706238,32.239807008525084,false, 36772,0
194224, -110.96702641998193,32.23980380951189,false, 117966,0
194247, -110.96742181259569,32.23980083453347,false, 106157,0
194250, -110.96754430020445,32.23979956239819,false, 80652,0
194253, -110.96763284380867,32.23980056338912,false, 51068,0
194257, -110.96775222269007,32.23979940908759,false, 41363,0
194261, -110.96791292669353,32.23979972315454,false, 112557,0
194264, -110.96807964614791,32.23980037058099,false, 50739,0
194266, -110.96824239784613,32.23979736774844,false, 65052,0
194276, -110.95766422924709,32.23978390660574,false, 48021,0
194277, -110.9578252293866,32.239783203843125,false, 80030,0
194283, -110.92333541658398,32.23943829782941,false, 113386,0
194285, -110.92356200401423,32.239435146823915,false, 32029,0
194289, -110.92379008905941,32.239435008230636,false, 78985,0
194292, -110.92402796017458,32.23943305505977,false, 126383,0
194294, -110.92424943045948,32.23943255459957,false, 32589,0
194295, -110.92444671193415,32.23943041516864,false, 142421,0
194302, -110.92553006235684,32.239221521005675,false, 89814,0
194314, -110.9260221299206,32.23945039560519,false, 99241,0
194319, -110.92638570860217,32.23944806914472,false, 88408,0
194326, -110.92796044970481,32.239415889556824,true, 255661,0
194327, -110.92776610882188,32.23941626986849,true, 282947,0
194328, -110.92757352450268,32.23941358093254,false, 54927,0
194329, -110.92738253651244,32.239414093835336,false, 224454,0
194330, -110.92718723163327,32.239412036363305,true, 271460,0
194331, -110.92699279036931,32.23941072826551,false, 40079,0
194336, -110.92836398228172,32.239416877196504,false, 20000,0
194338, -110.92858545497897,32.23941446352233,false, 181713,0
194339, -110.9287902823444,32.23941478675807,false, 105698,0
194341, -110.92900029547415,32.23941415063476,true, 382218,0
194342, -110.92920936178437,32.23941363679168,false, 20000,0
194345, -110.92942651235752,32.239413717417285,false, 20000,0
194346, -110.92984735037905,32.239413198705925,false, 20000,0
194350, -110.93007265566055,32.239411926184,false, 20000,0
194353, -110.97421909337356,32.23977050864329,false, 35399,0
194355, -110.93028289849701,32.23941044379673,false, 20000,0
194362, -110.93048858823653,32.23940909423921,false, 20000,0
194363, -110.97453477801267,32.239767999567476,false, 21858,0
194369, -110.97469940851614,32.239768230567925,false, 97586,0
194371, -110.93069918699871,32.239407975732,false, 212261,0
194376, -110.93091844139211,32.239403922068036,false, 124645,0
194383, -110.93131252614153,32.23940747797382,false, 136718,0
194393, -110.93150214209166,32.23940551139571,false, 156355,0
194405, -110.93169530744878,32.23940442921098,true, 324058,0
194411, -110.9592377086533,32.23974247173187,false, 124479,0
194414, -110.9318857145336,32.23940155565006,false, 33049,0
194422, -110.93207696168848,32.239401873402116,false, 226833,0
194430, -110.93227641687757,32.23939936302121,false, 215962,0
194435, -110.93264631512406,32.239398141764894,false, 35389,0
194440, -110.93282293164106,32.23939710948785,false, 97497,0
194443, -110.93301503017202,32.23939555237462,false, 22621,0
194446, -110.93320326839246,32.239395718114146,true, 369875,0
194449, -110.93338368892601,32.2393949744528,false, 20000,0
194453, -110.93355490344,32.23939426632762,false, 161687,1
194454, -110.9796767288578,32.23968462315593,false, 70864,0
194459, -110.93373152201487,32.23939480346845,false, 138009,0
194466, -110.9341262414705,32.23938798691203,false, 214490,0
194469, -110.9343225204565,32.23938839790767,true, 462933,0
194474, -110.93451628533963,32.23938733638708,true, 326122,0
194481, -110.93471300637889,32.23938503826476,false, 20000,0
194485, -110.93491283453497,32.23938568458784,true, 310162,0
194487, -110.93510860445873,32.2393845745583,false, 20000,0
194490, -110.93573312921977,32.23938431255362,false, 42908,0
194494, -110.93590145177963,32.239386626633966,true, 499795,0
194495, -110.93606036319588,32.239383680165275,false, 132632,0
194496, -110.93621830229202,32.23938612534653,false, 20000,0
194498, -110.93636946236195,32.23942011065006,true, 266128,0
194500, -110.93686444755627,32.239395753032404,false, 20000,0
194502, -110.93702652141627,32.2393896287606,true, 267059,0
194505, -110.93717961391192,32.23937856708929,true, 405928,0
194506, -110.93733910649415,32.239405153172505,false, 163635,0
194510, -110.93750760639075,32.239392743493894,false, 73019,0
194516, -110.93766881853446,32.23939311323593,false, 184978,0
194521, -110.93783074942768,32.239392789875126,false, 47049,0
194527, -110.93798672869235,32.23939451672612,true, 241138,0
194534, -110.9383126195125,32.23939192163534,false, 20000,0
194537, -110.9384799195307,32.23939111954768,true, 266184,0
194539, -110.9386417575066,32.23939200104864,true, 407588,0
194540, -110.93879908961428,32.23939293319561,false, 185977,0
194541, -110.93895477153566,32.23939459488631,true, 263759,0
194543, -110.93911249358668,32.239395195654794,false, 43542,0
194546, -110.93927894724261,32.23939638495299,false, 65814,0
194550, -110.93944989615784,32.23939553598872,false, 20000,0
194552, -110.93976919366125,32.239397473222205,false, 179078,0
194556, -110.93997047486002,32.23939645949492,true, 232377,0
194564, -110.96137862796296,32.23969517630094,false, 45161,0
194565, -110.94020854796982,32.23939529189751,true, 517911,0
194572, -110.94045379985324,32.23939510641211,true, 505204,0
194578, -110.94069643715625,32.23939144105946,false, 20000,0
194586, -110.94090154959719,32.2393918072759,true, 268439,0
194590, -110.94139372395425,32.23938453244934,false, 20000,0
194591, -110.96490875252238,32.23969249458045,false, 20000,0
194595, -110.96847702305197,32.239696447585025,false, 36821,0
194600, -110.94172032391948,32.23938394825729,false, 209386,0
194605, -110.9418817866885,32.23938304039873,false, 49517,0
194609, -110.94204011816679,32.23938449090886,false, 98945,0
194611, -110.94220202449537,32.23938212475569,false, 68193,0
194613, -110.94236323774577,32.23938459958181,false, 56300,0
194622, -110.94268375227162,32.23938213886315,false, 76174,0
194623, -110.94284864678934,32.23938232354732,false, 67660,0
194625, -110.94301395555267,32.23938350201441,false, 21581,0
194627, -110.94317093499228,32.239380752442145,false, 20000,0
194629, -110.94333003279097,32.23938300833465,true, 260113,0
194738, -110.94923829199345,32.239353297910995,false, 216472,0
194763, -110.94993521573768,32.23934714687651,false, 75846,0
194766, -110.91853667956057,32.23910702700135,false, 115709,0
194768, -110.92224568033976,32.239221907596935,false, 110067,0
194770, -110.95009582439856,32.23934703780924,false, 161524,0
194773, -110.91892333309549,32.23910527978537,false, 170639,0
194774, -110.95025856803008,32.23934829226034,false, 72475,0
194776, -110.95042147310886,32.239343384046215,false, 134738,0
194779, -110.95057936753545,32.239345215046576,false, 107048,0
194781, -110.95073825549282,32.23934213672642,false, 177842,0
194787, -110.95089027369498,32.239342890114735,false, 81736,0
194792, -110.95105623532099,32.23934131661148,false, 158416,1
194798, -110.95185541712702,32.23933889221547,false, 124780,0
194802, -110.92008122641214,32.23909567385041,false, 76506,0
194803, -110.9206755102004,32.23918888542849,false, 69897,0
194816, -110.92096349791328,32.23909311205858,false, 83358,0
194817, -110.95270196751754,32.23932215002012,false, 20000,0
194822, -110.92115272475361,32.239090744735826,false, 99321,0
194823, -110.95298362871763,32.239322245610516,false, 122132,0
194828, -110.95325575267981,32.2394216864074,false, 20000,0
194834, -110.92494029681095,32.23922493968798,false, 91488,0
194836, -110.95346312938183,32.239319488696594,false, 106146,0
194841, -110.95362134241202,32.23931800783586,false, 61992,0
