HouseIdentifier, CoordX, CoordY, Security, Value, NumBurglaries
193982, -110.95750336218155,32.23985205134267,false, 60586,0
193999, -110.95866784922933,32.239849562602,false, 159278,0
194001, -110.95883388762644,32.23984894468698,false, 107266,0
194006, -110.95899996396844,32.239848295866544,false, 106808,0
194028, -110.95833834344313,32.2398428000055,false, 135888,0
194029, -110.95973665586325,32.23984564113899,false, 128501,0
194033, -110.95990186108484,32.239843374337745,false, 103005,0
194036, -110.96006210462711,32.23984458278985,false, 80160,0
194095, -110.96167363951587,32.23982795335589,false, 20000,0
194097, -110.96185613136029,32.23982982692265,false, 129219,0
194099, -110.96203335014754,32.2398290882374,false, 115230,0
194100, -110.96222317092537,32.23982913044367,false, 106557,0
194104, -110.9624187850011,32.23982939375201,false, 58612,0
194118, -110.96320949464192,32.23982812158864,false, 107114,0
194121, -110.9633948130581,32.23982722050577,false, 89626,0
194126, -110.96357527817808,32.239827435517704,false, 74103,0
194127, -110.96375306195256,32.23982718648308,false, 134985,0
194129, -110.96393418751104,32.23982675528761,false, 141351,0
194159, -110.9643676159346,32.239818420924195,false, 103487,0
194163, -110.96461272421867,32.23981716201304,false, 137206,0
194168, -110.9196979342606,32.23945559141107,false, 184496,0
194174, -110.96525108404026,32.23978505815259,false, 119625,0
194179, -110.96548635960393,32.23981351460197,false, 179659,0
194186, -110.9659745072284,32.239809989290556,false, 94768,0
194194, -110.9662163764233,32.2398087617523,false, 42746,0
194200, -110.96637892009201,32.239811897459546,false, 66298,0
194206, -110.96654048754542,32.239805634004256,false, 70006,0
194211, -110.96669991124146,32.23980683676142,false, 79179,0
194217, -110.96686133706238,32.239807008525084,false, 50696,0
194224, -110.96702641998193,32.23980380951189,false, 73350,0
194247, -110.96742181259569,32.23980083453347,false, 79760,0
194250, -110.96754430020445,32.23979956239819,false, 61813,0
194253, -110.96763284380867,32.23980056338912,false, 112650,0
194257, -110.96775222269007,32.23979940908759,false, 32934,0
194261, -110.96791292669353,32.23979972315454,false, 45239,0
194264, -110.96807964614791,32.23980037058099,false, 76655,0
194266, -110.96824239784613,32.23979736774844,false, 104068,0
194276, -110.95766422924709,32.23978390660574,false, 113582,0
194277, -110.9578252293866,32.239783203843125,false, 27495,0
